,from_stop_I,to_stop_I,dep_time_ut,route_type,trip_I,seq,route_I,lat_from,lon_from,name_from,lat_to,lon_to,name_to,d,n_vehicles,route_I_counts,dep_Year,dep_Month,dep_Week,dep_Day,dep_Dayofweek,dep_Dayofyear,dep_Is_month_end,dep_Is_month_start,dep_Is_quarter_end,dep_Is_quarter_start,dep_Is_year_end,dep_Is_year_start,dep_Hour,dep_Minute,dep_Elapsed,dep_date,prediction,scheduled_date
491942,220,111,1462141980,2,186771,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,33,1462141980,9432,240.0,240.0
490895,220,111,1462140180,2,186714,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,3,1462140180,9402,240.0,240.0
486373,357,111,1462133880,2,189858,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,18,1462133880,9297,240.0,240.0
492244,220,111,1462142580,2,186678,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,43,1462142580,9442,240.0,240.0
484355,220,111,1462131180,2,186437,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,33,1462131180,9252,240.0,240.0
481695,357,111,1462127880,2,189819,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,18,38,1462127880,9197,240.0,240.0
483131,357,111,1462129680,2,189848,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,8,1462129680,9227,240.0,240.0
489494,357,111,1462138080,2,189998,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,28,1462138080,9367,240.0,240.0
486815,357,111,1462134480,2,189869,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,28,1462134480,9307,240.0,240.0
482660,357,111,1462129080,2,189742,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,18,58,1462129080,9217,240.0,240.0
491276,220,111,1462140780,2,186644,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,13,1462140780,9412,240.0,240.0
481692,357,111,1462127880,2,189712,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,18,38,1462127880,9197,240.0,240.0
486363,357,111,1462133880,2,189919,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,18,1462133880,9297,240.0,240.0
482885,220,111,1462129380,2,186385,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,3,1462129380,9222,240.0,240.0
488159,357,111,1462136280,2,189902,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,58,1462136280,9337,240.0,240.0
493233,357,111,1462145460,2,59376,13,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,23,31,1462145460,9490,239.7857142857143,240.0
488838,220,111,1462137180,2,186539,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,13,1462137180,9352,240.0,240.0
486184,220,111,1462133580,2,186538,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,13,1462133580,9292,240.0,240.0
491581,220,111,1462141380,2,186656,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,23,1462141380,9422,240.0,240.0
491076,357,111,1462140480,2,189969,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,22,8,1462140480,9407,240.0,240.0
488342,220,111,1462136580,2,186633,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,3,1462136580,9342,240.0,240.0
481926,220,111,1462128180,2,186345,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,18,43,1462128180,9202,240.0,240.0
489270,220,111,1462137780,2,186561,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,23,1462137780,9362,240.0,240.0
488564,357,111,1462136880,2,189968,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,8,1462136880,9347,240.0,240.0
483878,220,111,1462130580,2,186307,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,23,1462130580,9242,240.0,240.0
481409,220,111,1462127580,2,186323,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,18,33,1462127580,9192,240.0,240.0
482185,357,111,1462128480,2,189720,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,18,48,1462128480,9207,240.0,240.0
488794,220,111,1462137180,2,186643,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,13,1462137180,9352,240.0,240.0
491435,357,111,1462141080,2,190098,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,22,18,1462141080,9417,240.0,240.0
482904,220,111,1462129380,2,186270,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,3,1462129380,9222,240.0,240.0
487485,220,111,1462135380,2,186456,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,43,1462135380,9322,240.0,240.0
483182,357,111,1462129680,2,189762,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,8,1462129680,9227,240.0,240.0
486840,357,111,1462134480,2,189928,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,28,1462134480,9307,240.0,240.0
